,Start,End,Duration,Rank
0,2.159455782312925,2.507755102040816,0.3482993197278912,22.0
1,2.5193650793650795,3.3668934240362813,0.8475283446712019,16.0
2,3.7151927437641725,4.574331065759637,0.8591383219954642,15.0
3,6.03718820861678,7.058866213151927,1.021678004535147,13.0
4,9.148662131519274,9.47374149659864,0.3250793650793664,23.0
5,10.39092970521542,11.261678004535147,0.8707482993197271,14.0
6,11.493877551020407,13.897142857142857,2.4032653061224494,5.0
7,14.373151927437641,14.802721088435375,0.42956916099773323,18.0
8,14.895600907029479,16.370068027210884,1.474467120181405,9.0
9,16.381678004535146,16.70675736961451,0.32507936507936463,24.0
10,17.554285714285715,18.599183673469387,1.0448979591836718,11.0
11,19.121632653061223,21.28108843537415,2.1594557823129286,6.0
12,21.768707482993197,24.589931972789117,2.82122448979592,4.0
13,25.170430839002268,25.83219954648526,0.6617687074829917,17.0
14,26.36625850340136,27.39954648526077,1.0332879818594094,12.0
15,28.24707482993197,29.408072562358278,1.1609977324263063,10.0
16,29.68671201814059,31.288888888888888,1.6021768707482984,8.0
17,31.660408163265306,32.02031746031746,0.3599092970521518,21.0
18,33.12326530612245,36.25795918367347,3.1346938775510225,3.0
19,36.87328798185941,40.147301587301584,3.274013605442171,2.0
20,40.704580498866214,42.689886621315196,1.985306122448982,7.0
21,44.62875283446712,48.00725623582766,3.3785034013605397,1.0
22,49.388843537414964,49.795192743764176,0.406349206349212,19.0
23,50.41052154195011,50.79365079365079,0.38312925170068013,20.0
